spørsmål,svar,kommunenavn
Hva kan kommunen samtykke i dersom det settes minstekrav om oppstillingsplasser for bil eller sykkel i henhold til plan- og bygningsloven?,Kommunen kan samtykke i at det i stedet for oppstillingsplasser på egen grunn eller på felles areal blir innbetalt et beløp for bygging av offentlige parkeringsanlegg.,Kristiansund
Hva er det gjeldende frikjøpsbeløpet for en oppstillingsplass for bil og sykkel i Kristiansund kommune i 2020?,Frikjøpsbeløpet er NOK 360 000 per oppstillingsplass for bil og NOK 41 000 per oppstillingsplass for sykkel.,Kristiansund
Hva må tiltakshavere som benytter seg av frikjøpsordningen i Kristiansund Parkering AS framlegge for kommunen?,Tiltakshavere må framlegge for kommunen en underskrevet egenerklæring om at kommunedelplanens bestemmelser for frikjøp av oppstillingsplasser aksepteres.,Kristiansund
"Hva menes med ""større trær"" i henhold til bestemmelsene angående bevaring av landskapsform i § 11-9 nr. 5?","Større trær refererer til trær med en stammeomkrets over 120 cm, målt 1,3 meter over terreng.",Kristiansund
Hvilken hjemmel gir retningslinjene for at ny bebyggelse skal forholde seg til den historiske gate- og bebyggelsesstrukturen?,Hjemmel § 11-9 nr. 6 og 7.,Kristiansund
Hva er kravene for å sette opp skilt og reklameinnretninger uten tillatelse fra kommunen?,"Tillatelse kreves ikke for mindre skilt og mindre reklameinnretninger o.l. inntil 1,0 m² som monteres flatt på vegg for egen virksomhet. Unntaket omfatter ikke plassering av flere skilt, reklameinnretninger o.l. som plasseres på samme fasade.",Kristiansund
Hvilken retningslinje skal legges til grunn ved planlegging og behandling av reguleringsplaner og andre saker etter plan- og bygningsloven når det gjelder støy?,Retningslinje for behandling av støy i arealplanlegging (T-1442).,Kristiansund
Hva innebærer det at det skal utarbeides ROS-analyser ved nye planer eller større byggetiltak i henhold til hjemmel § 11-10 nr. 3?,Det innebærer blant annet kartlegging av ustabil grunn og dokumentasjon på tilfredsstillende sikkerhet i samsvar med gjeldende tekniske krav ved utbygging i og mot sjø.,Kristiansund
Hva er hjemmelen for byggegrensen mot sjø i henhold til plan- og bygningsloven?,Hjemmelen for byggegrensen mot sjø er § 11-9 nr. 5.,Kristiansund
Hva er den maksimale tillatte høyden for tekniske anlegg som stikker opp over maksimal tillatt gesimshøyde?,"Tekniske anlegg kan stikke opp over maksimal tillatt gesimshøyde med inntil 3,0 m.",Kristiansund
"Hva er høyderestriksjonskravet for kraner, skip eller rigger innenfor sjøarealene ved Kristiansund lufthavn?",Høyderestriksjonskravet gjelder ikke over kote 107 meter over havet.,Kristiansund
Hva er formålet med å ha private uteoppholdsarealer for boliger i henhold til den gitte konteksten?,"Formålet med private uteoppholdsarealer er å sikre at alle boenheter har tilgang til egne utendørsområder som balkonger, terrasser og lignende, i samsvar med spesifikke areal- og kvalitetskrav.",Kristiansund
Hva er kravet til minimum uteoppholdsareal per bolig med separat inngang fra terreng?,Minimum 25 m2 per bolig.,Kristiansund
Hva er kravet til minimum uteoppholdsareal per bolig med separat inngang fra terreng?,Minimum 25 m2 per bolig.,Kristiansund
Hva er minimumsstørrelsen på felles uteoppholdsareal for 2-4 boenheter ifølge konteksten?,Minimum 50 m².,Kristiansund
Hva er det maksimale tillatte antallet felles uteoppholdsarealer som kan dekkes av nærliggende offentlige arealer i henhold til retningslinjene gitt i dokumentet?,"Inntil 50 % av fellesarealene kan dekkes av nærliggende offentlige arealer som park, gatetun eller tilsvarende med god og trafikksikker tilgjengelighet. Summen av slike arealer kan maksimalt dekke 75 % av totalarealkravet for felles uteoppholdsareal.",Kristiansund
Hva er kravet til tilgang til fellesområder for alle boenheter i bygget ifølge dokumentet?,Alle boenheter skal ha tilgang til fellesområder maksimum 150 m fra byggets hovedatkomst.,Kristiansund
Hva er noen av kravene for plasseringen av arealene i henhold til informasjonen gitt?,"Arealene skal ha trafikksikker plassering og tilkomst, og skal skjermes mot støy, rasfare, stråling, forurensning og annen helsefare. Arealene skal også ha sol på minst halvparten av arealet kl. 15 vårjevndøgn.",Kristiansund
Hva er kravet til plassering av fellesarealet i henhold til informasjonen gitt?,"Minst 50 % av fellesarealet skal ligge samlet og sentralt, med mulighet for nyanser i store prosjekter og planområder.",Kristiansund
Hva er kravet når det gjelder opparbeidelse av felles uteoppholdsareal ved utbygging av nye boenheter i henhold til konteksten?,Felles uteoppholdsareal skal være ferdigstilt før første boenhet gis brukstillatelse.,Kristiansund
Hva er kravet til minimumsareal som skal avsettes per boenhet over 55 m² innenfor en avstand på 50 m ved regulering eller omdisponering av kvartalsbebyggelse og tett trehusbebyggelse i sentrum?,Minimum 12 m2 per boenhet over 55 m² skal avsettes.,Kristiansund
Hva er minimumsarealet som skal settes av til lekeplass fra den 21. boenheten i henhold til retningslinjene i dokumentet?,Minimumsarealet som skal settes av til lekeplass fra den 21. boenheten er ytterligere 36 m2/boenhet.,Kristiansund
Hva er de ulike funksjons- og innholdskravene for etablering av en nærlekeplass ifølge konteksten?,"Nærlekeplassen skal være etablert på en solrik, lun plass og ha 3 ulike typer utstyr/leikeapparater beregnet på aldersgruppen 1-6 år, samt benk, bord og fast dekke på minimum 1,6 x 1,6 m.",Kristiansund
Hva tillates ikke når det gjelder plassering av boligenheter i området som beskrives?,Det tillates ikke å etablere ensidig belyste boligenheter mot nord eller nordøst.,Kristiansund
Hva er formålet med områdene avsatt til offentlig og privat tjenesteyting ifølge dokumentet?,"Områdene avsatt til offentlig og privat tjenesteyting skal brukes til tjenesteyting, undervisning, kulturaktiviteter, forsamlingslokaler eller institusjons- og administrasjonsbebyggelse.",Kristiansund
"Hva er formålet med områdene som er beskrevet som ""Områder for transformasjon"" i dokumentet?","Områdene for transformasjon skal benyttes til bolig-, tjenesteytings-, nærings- og/eller sentrumsformål.",Kristiansund
Hvilke typer formål kan områdene nevnt i teksten nyttes til?,"Områdene kan nyttes til bolig-, tjenesteytings-, nærings- og/eller sentrumsformål.",Kristiansund
"Hva er formålet med å harmonere materialbruk, utforming og farge på synlige deler av bygningskroppen med øvrig bebyggelse?",Formålet er å sikre at bygningen passer inn i omgivelsene og opprettholder estetikken og karakteren til det eksisterende miljøet.,Kristiansund
Hva er kravet når det gjelder byggesaker som berører bebyggelsens eksteriør i vesentlig grad i Kristiansund?,Byggesaker som berører bebyggelsens eksteriør i vesentlig grad i Kristiansund skal forelegges fylkeskommunen for vurdering og tilråding før endelig vedtak fattes.,Kristiansund
Hvilke områder omfatter de to sonene nevnt i konteksten?,De to sonene omfatter NB!-område Kristiansund sentrum og søndre del av NB!-område Vågen.,Kristiansund
Hva er hovedprinsippet som bygningsmessige tiltak i NB!-område Kristiansund sentrum skal innordne seg etter?,"Bygningsmessige tiltak i NB!-område Kristiansund sentrum skal innordne seg etter eksisterende bystruktur, Brente Steders Regulering (BSR) og gjenreisningsarkitekturen.",Kristiansund
"Hvilke retningslinjer gjelder for bygningsmessige tiltak i NB!-område Vågen, H570_2?","Bygningsmessige tiltak skal innordne seg eksisterende bystruktur. Gater, plasser og bygningsmiljøer skal fortsatt være lesbart som en planlagt, helhetlig utbygging og danne rammen for videre utvikling.",Kristiansund
Hva skjer med byggesaker som berører vedtaksfreda kulturminner i sonene nevnt i teksten?,Byggesaker som berører vedtaksfreda kulturminner i sonene sendes til kulturminnemyndigheten for behandling etter kulturminneloven.,Kristiansund
Hva kreves tillatelse for dersom man ønsker å utføre tiltak ut over vanlig vedlikehold på en fredet bygning?,Tiltak ut over vanlig vedlikehold krever tillatelse av vedkommende myndighet etter kulturminnelovens § 15a.,Kristiansund
Hva er retningslinjene for ombygging eller utbedring av bebyggelsen i sonen med kulturhistorisk verdifull bebyggelse?,Bebyggelsen tillates bare ombygd eller utbedret under forutsetning av at eksteriøret beholdes uendret eller føres tilbake til dokumentert tidligere utseende.,Kristiansund
Hva er den maksimale tillatte samlede bredden på takoppløft og arker i henhold til retningslinjene for byggehøyde og takform i dokumentet?,Samla bredde på takoppløft og arker skal ikke overstige 50 % av fasadelengden.,Kristiansund
Hva er den maksimale tillatte nedskjæringen av takflaten på bakfasaden ifølge retningslinjene for bygging i Kristiansund?,Nedskjæring på bakfasaden kan ikke overskride 40 % av takflaten.,Kristiansund
Hva er kravene til balkonger på trehus og murhus i henhold til dokumentet?,"Balkonger på trehus skal ha materialbruk og farge som bygningen, mens balkonger på murhus skal ha rekkverk i mur, eventuelt grått eller svart metallrekkverk uten glass.",Kristiansund
Hva er begrensningen for samlet bredde på takoppløft og arker i bygninger i henhold til retningslinjene?,Samlet bredde på takoppløft og arker skal ikke overstige 50 % av fasadelengden.,Kristiansund
Hva er kravene til material- og fargebruk for balkonger på trehus og murhus i henhold til retningslinjene i dokumentet?,"Balkonger på trehus skal ha materialbruk og farge som passer til bygningen, mens balkonger på murhus skal ha rekkverk i mur eller grått/svart metallrekkverk uten glass.",Kristiansund
Hva er kravene til taktekking og vinduer for alle trehus i henhold til konteksten?,"Taktekkingen skal være skifer eller skiferlignende materiale, og vinduene skal ha tradisjonell utforming.",Kristiansund
Hva er formålet med å kartlegge reell fare i sonen som er vist i eget kartvedlegg?,Formålet med å kartlegge reell fare er å utarbeide reguleringsplaner som hjemler ny eller utvidet bebyggelse i sonen.,Kristiansund
Hvilket år er forventet havnivåstigning kombinert med økt vannstandsnivå som følge av 200-års stormflo for Sonen i Kristiansund?,Forventet havnivåstigning år 2090.,Kristiansund
Hva kreves det at det foreligger ved utarbeidelse av reguleringsplan for ny eller utvidet bebyggelse i sonen?,"Det kreves en vurdering/beregning av vannstandsnivå som følge av forventet havnivåstigning år 2090, 200-års stormflo og bølgepåvirkning.",Kristiansund
Hva er formålet med sonen som er vist i eget kartvedlegg i dokumentet?,"Sonen omfatter både områder der etablering av ny bebyggelse med støyfølsomt bruksformål skal unngås (rød sone), og områder hvor bebyggelse med støyfølsomt bruksformål kan oppføres dersom avbøtende tiltak gir tilfredsstillende støyforhold (gul sone), i samsvar med de statlige støyretningslinjene T-1442.",Kristiansund
Hvilke områder er inkludert i områder avsatt til veiformål ifølge konteksten?,"Områder avsatt til veiformål inkluderer kjørevei, fortau, torg, byrom, gatetun, gateparkering, parkeringsplasser og annen veigrunn.",Kristiansund
"Hva er formålet med området o_SHA2 (Piren) i henhold til ""Rammeplan for avkjørsler i Møre og Romsdal""?",Området o_SHA2 (Piren) skal være tilgjengelig for allmennheten.,Kristiansund
Hva tillates kun oppført i områder avsatt til grønnstruktur i henhold til informasjonen gitt?,Kun bygg eller anlegg som understøtter grønnstruktur-formålet tillates oppført i områder avsatt til grønnstruktur.,Kristiansund
Hva er betegnelsen for de to områdene som er tilrettelagt for småbåter og gjestebrygger i dokumentet?,De to områdene er avsatt som Småbåthavn og betegnet VS.,Kristiansund
Hva er datoen for den siste revisjonen av dokumentet?,08.08.2019,Elverum
Hva er temaet for avsnitt 1.4 i dokumentet?,Energi.,Elverum
Hva er temaet for avsnitt 1.9 i dokumentet?,Uteoppholds- og lekeareal til boligbebyggelse.,Elverum
Hva ble vedtatt i sak 075/19 den 19.06.2019 ifølge dokumentet?,Skilt og reklame ble vedtatt i sak 075/19 den 19.06.2019 ifølge dokumentet.,Elverum
"Hva er hovedtemaet for avsnittet ""BEBYGGELSE OG ANLEGG"" i dokumentet?","Hovedtemaet for avsnittet ""BEBYGGELSE OG ANLEGG"" er ulike typer områder og formål knyttet til boliger og sentrumsutvikling.",Elverum
Hva er temaet for avsnitt 2.3 i dokumentet?,Kjøpesenter,Elverum
Hvilken type virksomheter er omtalt i avsnitt 2.4?,Forretninger,Elverum
Hva er fokusområdet for avsnitt 3 i dokumentet?,Samferdselsanlegg og teknisk infrastruktur,Elverum
Hvor kan kilden til informasjonen bli funnet?,data/pdfs/Elverum.pdf,Elverum
Hva er temaet for kapittel 5 i dokumentet?,Bruk og vern av sjø og vassdrag.,Elverum
Hvilken spesifikk hensynssone er angitt for bevaring av kulturmiljø i dokumentet?,BEVARING KULTURMILJØ (H570),Elverum
Hva er formålet med båndleggingssonen H720 nevnt i dokumentet?,Formålet med båndleggingssonen H720 er ikke spesifisert i den gitte konteksten.,Elverum
Hvilken lov har hjemmel for de rettslig bindende bestemmelsene som inngår i arealdelen?,Plan- og bygningsloven (PBL) kapittel 11.,Elverum
Hva erstatter Kommunedelplanen med tilhørende bestemmelser ifølge konteksten?,Kommunedelplanen med tilhørende bestemmelser erstatter tilsvarende område i delplan for Elverum sentrum – Leiret (sentrumsplanen) med tilhørende bestemmelser.,Elverum
Hva skjer med deler av eldre reguleringsplaner som er i motstrid med kommunedelplanen?,Deler av eldre reguleringsplaner som er i motstrid med kommunedelplanen vil tilsidesettes så langt det er motstrid.,Elverum
Hva er hovedoppgaven til en kommunedelplan ifølge konteksten?,Hovedoppgaven til en kommunedelplan er å angi hovedtrekkene i arealbruken ved å gjengi kun dominerende arealformål i kommunedelplankartet. Mindre arealer med annet formål enn de omkringliggende vil ikke vises i kartet.,Elverum
Hva vil kommunedelplanen gjøre i forhold til eldre reguleringsplaner når det oppstår motstrid?,De generelle bestemmelsene i kommunedelplanen vil gå foran eldre reguleringsplaner der det er motstrid.,Elverum
Hvilke byggeområder i Elverum krever at det foreligger en vedtatt reguleringsplan før tiltak etter PBL § 20-1 kan finne sted?,"Svømmehallen (S1), Folkvangtomta (o_T2), Garverkvartalet (S5), Elvarhøy-/Markuskvartalet (S6 og B3), Pedersenkvartalet (S7 og B4), Syringenkvartalet (S9), Skogbrukets hus (S13 og B7), Tinghuskvartalet (S15), Bank-kvartalet (S16), Slakteritomta (S17), YC-torget (F6), Gaarder (B8, S20, S21, o_T6), Prestegårdsjordet (o_T12 og o_T13), Skogbruksmuseet (o_T14), Galgeberget (S22 og B11).",Elverum
Hva er kravet for å kunne fravike plankravet og behandle utbygging som enkeltsak på en bebygd eiendom i henhold til plan- og bygningsloven?,"For å kunne fravike plankravet og behandle utbygging som enkeltsak på en bebygd eiendom i henhold til plan- og bygningsloven, må alle følgende kriterier være oppfylt.",Elverum
Hva er den maksimale tillatte størrelsen på bruksareal (BRA) for utbyggingen i henhold til kontekstinformasjonen?,Utbyggingen omfatter bruksareal (BRA) inntil 200 m2.,Elverum
Hva sier Plan- og bygningsloven (PBL) § 11-9 nr 2 om plankrav for tilliggende veglenker og vegkryss ved planlegging av et byggeområde?,"Dersom plankravet ikke allerede er oppfylt for tilliggende veglenker og vegkryss ved planlegging av et byggeområde, skal disse inngå i planområdet for byggeområdet.",Elverum
"Hva kan en utbyggingsavtale omfatte i forbindelse med utbygging av areal som er avsatt til bebyggelse og anlegg, samferdselsanlegg og infrastruktur, samt forsvaret?","En utbyggingsavtale kan omfatte opprusting, etablering og drift/vedlikehold av nødvendig intern og ekstern teknisk og grønn infrastruktur, avklaring av rettighet til grunn, miljø- og kulturtiltak, organisatoriske tiltak, finansielle tiltak, utbyggingstakt, samt andre nødvendige tiltak for gjennomføring av planvedtak.",Elverum
Hva regulerer en utbyggingsavtale i forhold til en kommunal arealplan?,"En utbyggingsavtale regulerer gjennomføringen av rekkefølgebestemmelser i kommunal arealplan ved å avklare partenes rettigheter og plikter, inkludert finansiering av tiltak og gjennomføringen av dem.",Elverum
Hva er kravet for tilknytningsplikt til fjernvarmeanlegg innenfor konsesjonsområdet for fjernvarme når det oppføres en ny bygning med oppvarmet bruksareal over 500 m2?,Bebyggelsen skal tilknyttes anlegget.,Elverum
Hva er kravet for å kunne bruke alternative energikilder i henhold til planbestemmelsene for Leiret?,Alternative energikilder kan brukes der det kan dokumenteres at bruk av disse vil være energi- og miljømessige bedre enn tilknytning til fjernvarme.,Elverum
Hva er noen av de generelle kravene som må oppfylles før utbygging kan finne sted ifølge konteksten?,"Noen av de generelle kravene inkluderer etablering av teknisk og grønn infrastruktur som kjøreveg, parkering, trafikksikkerhetstiltak, holdeplass, varelevering, søppelhåndtering, løsninger for gående og syklende, barnehage, skoler, nærbutikk, vann- og avløpsanlegg, areal for lek og rekreasjon, uteoppholdsareal, parkeringsplasser, miljø- og kulturtiltak, samt innarbeidelse av rekkefølgebestemmelser i reguleringsplaner.",Elverum
Hva må et tiltak oppfylle for å anses som nødvendig i en reguleringsplan ifølge konteksten?,"Et tiltak må ha en direkte saklig sammenheng med planen og fylle et behov som oppstår, eller dempe en ulempe som skapes for omgivelsene for å anses som nødvendig i en reguleringsplan.",Elverum
"Hvorfor kan ikke veglenkene mellom byggeområdene S5 og S9, samt S10 og S14, åpnes med kryss mot Solørvegen/rv. 2?","Veglenkene kan ikke åpnes før trafikken på rv. 2 mellom Glåmbrua og Gammelbrua er redusert til et akseptabelt nivå, eller det foreligger enighet med vegmyndighetene om en løsning.",Elverum
Hva er planens intensjon med hensyn til Solørvegen/rv. 2 i bykjernen mellom Glåmbrua og Gammelbrua?,"Planens intensjon er å ha tre kryss mellom Solørvegen/rv. 2 og bykjernen på strekningen, men dette kan ikke gjennomføres før trafikkmengden er redusert til et akseptabelt nivå eller det foreligger enighet med vegmyndighetene om en løsning.",Elverum
"Hva er kravet for ny bebyggelse i byggeområdene S5, S6/B3, S7/B4, S9, S13/B7, F6, S15, S16, S17, B8/S20/S21/o_T6, o_T12, o_T13, o_T14 før den kan tas i bruk?","Ny bebyggelse i de nevnte byggeområdene kan ikke tas i bruk før tilliggende offentlig trafikkareal til og med kjøreveg er bygd/oppgradert som planlagt i reguleringsplan, i samsvar med PBL § 11-9 nr. 4.",Elverum
Hva må være gjennomført før ny bebyggelse i byggeområdene B11/S22 kan tas i bruk ifølge reguleringsplanen?,Tursti fra Storgata til Husmorlagets hus må være bygd/oppgradert.,Elverum
Hva sier Rikspolitiske retningslinjer for barn og planlegging om vurdering av konsekvenser for barn og unges oppvekstmiljø i forbindelse med reguleringsplaner og byggesaker?,Rikspolitiske retningslinjer for barn og planlegging sier at konsekvenser for barn og unges oppvekstmiljø skal vurderes særskilt ved utarbeidelse av reguleringsplaner og i byggesaker.,Elverum
Hva er formålet med å ta inn bestemmelser om universell utforming i reguleringsplaner?,"Formålet er å sikre tilgjengelighet og inkludering for alle, uavhengig av funksjonsevne.",Elverum
Hva er kravet angående universell utforming i plan- og byggesaker i henhold til den gjeldende lovgivningen?,"I alle plan- og byggesaker skal det redegjøres for hvordan universell utforming er ivaretatt, i henhold til de til enhver tid gjeldende krav og retningslinjer. Arbeid som er nevnt i plan- og bygningslovens § 20-1 og 20-2 kan ikke settes i gang før tilfredsstillende løsninger for universell utforming er dokumentert.",Elverum
Hva er anbefalingen når det gjelder planlegging av nye boliger i forhold til plassering av hovedfunksjoner?,"Anbefalingen er at nye boliger bør planlegges med alle hovedfunksjoner (stue, kjøkken, soverom/sovemulighet, bad og toalett) på inngangsplanet.",Elverum
Hvorfor bør tilgjengelighetstiltak som kan kombineres med vernehensyn prioriteres?,Tilgjengelighetstiltak som kan kombineres med vernehensyn bør prioriteres for å sikre at både tilgjengelighet og vernehensyn ivaretas på en god måte.,Elverum
Hva kreves for at rivingstomter skal opparbeides med midlertidig grøntanlegg ifølge PBL 11-9 nr 6?,Rivingstomter skal opparbeides med midlertidig grøntanlegg dersom utbygging ikke følger umiddelbart.,Elverum
Hva er minimumsarealet for en boenhet i lavblokk/høyblokk innenfor bykjernen ifølge bestemmelsene?,"Minimumsarealet for en boenhet i lavblokk/høyblokk innenfor bykjernen er 75 m2, hvorav minimum 10 m2 skal være privat og minimum 25 m2 skal være til felles uteopphold per boenhet.",Elverum
Hva er de minste kravene til uteopphold per boenhet i henhold til informasjonen gitt?,"Kravet er 8 m2 felles uteopphold per boenhet, hvorav minimum 8 m2 skal være privat og minimum 8 m2 skal være til felles uteopphold.",Elverum
Hva er et eksempel på kompenserende tiltak som kan gjøres ved fravik fra krav til minimumsareal for uteopphold i områder for sentrumsformål?,Et eksempel på kompenserende tiltak kan være opprustning av nærliggende grøntarealer/parker.,Elverum
Hvilket krav utløses ved utbygging av 5 enheter eller flere ifølge konteksten?,Kravet til nærlekeplass utløses ved utbygging av 5 enheter eller flere.,Elverum
Hva er kravet til størrelsen på en nærlekeplass som betjener opp til 20 boenheter for eneboliger?,En nærlekeplass må være på minimum 200 m2.,Elverum
Hva er kravet til størrelsen på en områdelekeplass i nærheten av områder med 100 eller flere boenheter?,En områdelekeplass i nærheten av områder med 100 eller flere boenheter skal ha en størrelse på minimum 2000 m2.,Elverum
Hva er minimumsbyggegrensen mot lekeplass i henhold til kontekstinformasjonen?,Minimumsbyggegrensen mot lekeplass skal være 4 meter.,Elverum
Hva er minimumsbyggegrensen mot lekeplass i henhold til informasjonen gitt?,Minimumsbyggegrensen mot lekeplass skal være 4 meter.,Elverum
Hva er minimum antall parkeringsplasser per boenhet for en tomannsbolig i henhold til reglene angitt i dokumentet?,"Minimum 1,5 parkeringsplasser per boenhet for en tomannsbolig.",Elverum
Hva er minimumskravet for antall gjesteparkeringsplasser i bykjernen i henhold til planbestemmelsene for Leiret?,Det er ikke krav til antall gjesteparkeringsplasser i bykjernen i henhold til planbestemmelsene for Leiret.,Elverum
Hva er minimumsantallet av parkeringsplasser som skal tilrettelegges for funksjonshemmede i henhold til retningslinjene gitt i konteksten?,Minimum 3 % av parkeringsplassene skal tilrettelegges for funksjonshemmede.,Elverum
Hva er kravet for sykkelparkering i forhold til inngangspartiet på bakkeplan i henhold til kontekstinformasjonen?,"Sykkelparkering skal løses på egen grunn og skal ligge hensiktsmessig i forhold til inngangspartiet på bakkeplan, evt. i egen låsbar bod.",Elverum
Hvilke gater og områder tillates ikke P-anlegg å være eksponert mot i Elverum?,"P-anlegg tillates ikke eksponert i fasaden mot hovedgater eller plasser, dvs. mot Storgata, Lundgaardvegen, Elvarheimparken og Elverum torg.",Elverum
Hvilken mulighet kan vurderes ved ombygging av eksisterende bebyggelse i bykjernen hvis det ikke finnes tilgjengelig areal for mer parkering?,Dispensasjon fra parkeringskravet kan vurderes.,Elverum
Hva er den anbefalte måten å håndtere overvann lokalt ifølge dokumentet?,"Overvann skal håndteres lokalt, dvs. på egen grunn ved infiltrasjon og fordrøyning eller på annen måte.",Elverum
"Hva er viktig å vurdere ved fortetting, planlegging av nye bebyggelsesområder og endringer av eksisterende forhold når det gjelder overvannshåndtering?","Ved fortetting, planlegging av nye bebyggelsesområder og endringer av eksisterende forhold er det viktig å vie ekstra oppmerksomhet til overvannshåndtering. Bruk av ulike områder som gater, veier, parkeringsplasser, grøntanlegg og overflatebassenger til fordrøyning på overflaten bør utredes.",Elverum
Hvilken retningslinje skal legges til grunn for all planlegging og byggesaksbehandling i planområdet ifølge konteksten?,Miljøverndepartementets til enhver tid gjeldende retningslinje for behandling av støy i arealplanlegging (T-1442).,Elverum
Hva kreves det ved søknad om tillatelse til bygging av boliger i avvikssonen når det gjelder støy?,"Ved søknad om tillatelse til bygging av boliger i avvikssonen kreves det at det følger med en støyfaglig utredning som viser støynivået utenfor vinduer på boligen og på uteområder. Beregningene skal vise støynivå med støyskjermingstiltak og støynivå uten støyskjermingstiltak, og det må dokumenteres at krav til innendørs støynivå oppfylles.",Elverum
Hva er kravene for å tillate nye boenheter i områder med rød støysone?,Det skal ikke tillates nye boenheter i områder med rød støysone.,Elverum
Hva er formålet med å tilstrebe støytiltak uten skjerm/vold langs kommunale og private veger?,"Formålet er å unngå konflikt med vegnorm m.t.p. tilstrekkelig grøftearealer, drift- og vegvedlikehold, samtidig som man sikrer en helhetlig utforming der skjerm må etableres.",Elverum
Hvilken PBL-paragraf regulerer krav til luftkvalitet i planlegging av tiltak?,PBL § 11-9 nr 6 og 8.,Elverum
Hva er viktig når det gjelder estetisk utforming av ny bebyggelse i området?,"Ny bebyggelse må ha god estetisk utforming, komplettere eksisterende bebyggelse og tilpasses bygningsmiljøet med dimensjonering, fasadeoppdeling, byggedybde, takform og materialvalg tilsvarende typiske elementer i området nybyggingen skjer.",Elverum
