spørsmål,svar,kommunenavn
Hva er tillatt som sekundærfunksjon i områdene som skal benyttes til boligbebyggelse?,Mindre virksomheter som forretning og servering er tillatt som sekundærfunksjon i områdene som skal benyttes til boligbebyggelse.,Kristiansund
Hva er kravene til arealer på bakkeplan som vender mot offentlig gate i forhold til fasader og aktiviteter?,Arealer på bakkeplan som vender mot offentlig gate skal ha åpne fasader og være tilrettelagt for publikumsrettet aktivitet i henhold til planbestemmelsene.,Kristiansund
"Hva er formålet med områdene som er angitt som ""BFT"" i planbestemmelsene?","Områdene angitt som ""BFT"" skal benyttes til industri-, håndverks- og lagervirksomhet eller bensinstasjon.",Kristiansund
"Hva er formålet med områdene som er angitt som ""BKB"" i planbestemmelsene?","Områdene angitt som ""BKB"" skal nyttes til bolig-, tjenesteytings-, nærings- og/eller sentrumsformål.",Kristiansund
"Hvilke typer virksomheter kan etableres i områdene angitt som ""Eksisterende(1800)"" i planbestemmelsene?","Områdene angitt som ""Eksisterende(1800)"" kan benyttes til hotell og andre overnattings- og serveringsbedrifter.",Kristiansund
"Hva er formålet med områdene angitt som ""Framtidig (1800)"" i planbestemmelsene?","Områdene angitt som ""Framtidig (1800)"" er områder for transformasjon.",Kristiansund
Hva er formålet med områdene som er nevnt i dokumentet?,"Områdene skal nyttes til bolig-, tjenesteytings-, nærings- og/eller sentrumsformål.",Kristiansund
"Hva er kravene til materialbruk, utforming og farge for synlige deler av bygningskroppen i planbestemmelsene?","Synlige deler av bygningskroppen skal ha en materialbruk, utforming og farge som harmonerer med øvrig bebyggelse.",Kristiansund
Hva er kravene for å få tillatelse til å rive en bygning i Kristiansund?,"Riving er ikke tillatt, med mindre bygningen er sterkt skadet av brann eller utsatt for langt fremskredet forfall.",Kristiansund
Hva er omfanget av NB!-områdene i Kristiansund sentrum og Vågen?,De to sonene omfatter NB!-område Kristiansund sentrum og søndre del av NB!-område Vågen.,Kristiansund
Hva er hovedprinsippet som bygningsmessige tiltak i NB!-område Kristiansund sentrum skal følge?,"Bygningsmessige tiltak i NB!-område Kristiansund sentrum skal innordne seg eksisterende bystruktur, med hovedtrekk fra Brente Steders Regulering (BSR) og gjenreisningsarkitekturen som skal utgjøre hovedtrekk i bymiljøet.",Kristiansund
Hva er retningslinjene for bygningsmessige tiltak i NB!-område Vågen?,"Bygningsmessige tiltak i NB!-område Vågen skal innordne seg eksisterende bystruktur, og gater, plasser og bygningsmiljøer skal fortsatt være lesbart som en planlagt, helhetlig utbygging og danne rammen for videre utvikling.",Kristiansund
Hva skjer med byggesaker som berører vedtaksfreda kulturminner i kommunen?,Byggesaker som berører vedtaksfreda kulturminner sendes til kulturminnemyndigheten for behandling etter kulturminneloven.,Kristiansund
Hva må man søke tillatelse for dersom man ønsker å gjøre endringer på en fredet bygning?,"Dersom man ønsker å gjøre endringer på en fredet bygning, må man søke tillatelse av vedkommende myndighet etter kulturminnelovens § 15a.",Kristiansund
Hva er retningslinjene for ombygging eller utbedring av bebyggelsen i sonen med kulturhistorisk verdifull bebyggelse?,Bebyggelsen tillates bare ombygd eller utbedret under forutsetning av at eksteriøret beholdes uendret eller føres tilbake til dokumentert tidligere utseende.,Kristiansund
Hva er maksimal tillatt samlet bredde på takoppløft og arker i bygninger i kommunen?,Samla bredde på takoppløft og arker skal ikke overstige 50 % av fasadelengden.,Kristiansund
Hva er begrensningen for nedskjæring på bakfasaden når det gjelder taknedskjæringer i kommunen?,"Nedskjæring på bakfasaden kan ikke overskride 40 % av takflaten, og det må være bevart takflate på alle fire sider av nedskjæringen.",Kristiansund
Hva er kravene til balkonger på trehus og murhus i kommunen når det gjelder materialbruk og farge?,"Balkonger på trehus skal ha materialbruk og farge som passer til bygningen, mens balkonger på murhus skal ha rekkverk i mur eller grått/svart metallrekkverk uten glass.",Kristiansund
Hva er den maksimale tillatte bredden på takoppløft og arker i bygninger i henhold til retningslinjene?,Samla bredde på takoppløft og arker skal ikke overstige 50 % av fasadelengden.,Kristiansund
Hva er kravene til material- og fargebruk for balkonger på trehus og murhus i kommunen?,"Balkonger på trehus skal ha materialbruk og farge som bygningen, mens balkonger på murhus skal ha rekkverk i mur, eventuelt grått eller svart metallrekkverk uten glass. Material- og fargebruk skal følge mønsteret i gjenreisningsarkitekturen.",Kristiansund
Hva slags materialer er tillatt for taktekking i henhold til planbestemmelsene?,"Taktekkingen skal være skifer eller skiferlignende materiale, og skiferlignende solcellepanel tillates.",Kristiansund
Hvilken type kledning er påkrevd for alle trehus i henhold til planbestemmelsene?,Alle trehus skal ha malt trekledning i henhold til planbestemmelsene.,Kristiansund
Hva er kravene til vinduer og fasade for henholdsvis trehus og murhus i planbestemmelsene?,"Vinduer skal ha tradisjonell utforming for trehus, og murhus skal ha pusset og malt fasade med farger fra BSR fargepalett for murbygg.",Kristiansund
Hva innebærer det at det foreligger mulig fare for løsmasseutglidning/undervannsskred i sonen som er vist i eget kartvedlegg?,Det betyr at det er potensiell fare for at løsmasser kan gli ut eller at undervannsskred kan forekomme i dette området. Disse risikoene må kartlegges nøye ved utarbeidelse av reguleringsplaner for å sikre trygg utvikling av ny eller utvidet bebyggelse i sonen.,Kristiansund
Hva innebærer det at et område er flomutsatt som følge av forventet havnivåstigning år 2090 kombinert med økt vannstandsnivå som følge av 200-års stormflo?,"Et område som er flomutsatt som følge av forventet havnivåstigning år 2090 kombinert med økt vannstandsnivå som følge av 200-års stormflo vil kunne bli påvirket av høyere vannstand enn normalt, noe som kan føre til oversvømmelser og potensiell skade på eiendommer og infrastruktur.",Kristiansund
Hva er kravene til vurdering av vannstandsnivå ved utarbeidelse av reguleringsplaner i kommunen?,"Ved utarbeidelse av reguleringsplaner som hjemler ny eller utvidet bebyggelse i sonen, må det foreligge en vurdering/beregning av vannstandsnivå som følge av forventet havnivåstigning år 2090, 200-års stormflo og bølgepåvirkning.",Kristiansund
Hva er forskjellen mellom rød sone og gul sone når det gjelder støy fra veitrafikken i kommunen?,"Den røde sonen omfatter områder der etablering av ny bebyggelse med støyfølsomt bruksformål skal unngås, mens den gule sonen omfatter områder hvor bebyggelse med støyfølsomt bruksformål kan oppføres dersom avbøtende tiltak gir tilfredsstillende støyforhold.",Kristiansund
Hva inkluderer områder avsatt til veiformål i kommunen?,"Områder avsatt til veiformål inkluderer offentlige trafikkområder som kjørevei, fortau, torg, byrom, gatetun, gateparkering, parkeringsplasser og annen veigrunn.",Kristiansund
"Kan området o_SHA2 (Piren) gjerdes inn, eller må det være tilgjengelig for allmennheten?","Området o_SHA2 (Piren) skal være tilgjengelig for allmennheten og kan ikke gjerdes inn, i tråd med planbestemmelsene.",Kristiansund
Hva slags aktiviteter er tillatt i områder avsatt til grønnstruktur ifølge planbestemmelsene?,"Anlegg og installasjoner til arrangementer, lek, rekreasjon og fysisk aktivitet, samt kulturell aktivitet er tillatt i områder avsatt til grønnstruktur ifølge planbestemmelsene.",Kristiansund
Kan det etableres anlegg som hindrer båter å legge til kai eller å ferdes i området i Ferdselsområdet (VFE)?,"Nei, det kan ikke etableres anlegg som hindrer båter å legge til kai eller å ferdes i området i Ferdselsområdet (VFE).",Kristiansund
Hva er forholdet til gjeldende planer når det gjelder planbestemmelsene i Elverum kommune?,Planbestemmelsene i Elverum kommune tar hensyn til gjeldende planer for å sikre en helhetlig og koordinert planlegging.,Elverum
Hva er formålet med utbyggingsavtalene nevnt i dokumentet?,Utbyggingsavtalene har som formål å regulere utbyggingen av områder og sikre at nødvendige tiltak blir gjennomført i forbindelse med utbyggingen.,Elverum
Hva er retningslinjene for universell utforming i Elverum kommune?,"Universell utforming er et viktig prinsipp som legges til grunn for planlegging og utforming av offentlige rom og bygninger i Elverum kommune for å sikre tilgjengelighet for alle, uavhengig av funksjonsevne.",Elverum
Hva er reglene angående parkering i kommunen basert på dokumentet?,"I henhold til vedtaket i sak 075/19 den 19.06.2019, er reglene angående parkering beskrevet på side 9 i dokumentet.",Elverum
Hva er formålet med boligområder i kommunen ifølge planbestemmelsene?,Formålet med boligområder i kommunen er å legge til rette for boligbygging og etablering av boliger for innbyggerne.,Elverum
Hvilke typer forretninger er det regulert for i dokumentet?,Dokumentet regulerer forretninger i kjøpesenter og offentlig eller privat tjenesteyting.,Elverum
"Hva er formålet med sikrings-, støy- og faresoner i planbestemmelsene for Leiret?","Formålet med sikrings-, støy- og faresoner i planbestemmelsene for Leiret er å ivareta sikkerheten og helsen til innbyggerne samt å redusere risikoen for uønskede hendelser i området.",Elverum
Hva innebærer flomsone i planbestemmelsene for Elverum kommune?,Flomsone i planbestemmelsene for Elverum kommune angir områder som er utsatt for flom og hvilke restriksjoner som gjelder for bygging og utvikling i disse områdene.,Elverum
Hva er formålet med båndleggingssonen H720 i kommunen?,Formålet med båndleggingssonen H720 i kommunen er å regulere aktiviteter og utvikling i området for å ivareta kulturminner og verneverdige bygninger.,Elverum
Hva er hensikten med å nummerere og utheve bestemmelser med ramme i arealdelen med hjemmel i Plan- og bygningsloven?,"Nummerering og utheving av bestemmelser med ramme i arealdelen med hjemmel i Plan- og bygningsloven har som formål å gjøre disse bestemmelsene rettslig bindende, mens øvrig tekst er retningsgivende ved behandling av enkeltsaker.",Elverum
Hva er forskjellen mellom kommunedelplanen og sentrumsplanen for Elverum?,"Kommunedelplanen med tilhørende bestemmelser erstatter tilsvarende område i delplan for Elverum sentrum – Leiret (sentrumsplanen) med tilhørende bestemmelser, vedtatt 02.05.2001, med endringer vedtatt 22.06.2005. Arealbruken innenfor planens avgrensning er bindende.",Elverum
Hva skjer med eldre reguleringsplaner som er i motstrid med kommunedelplanen?,Deler av eldre reguleringsplaner som er i motstrid med kommunedelplanen vil tilsidesettes så langt det er motstrid.,Elverum
Hva er formålet med kommunedelplanen og hva vises i kommunedelplankartet?,"Formålet med kommunedelplanen er å angi hovedtrekkene i arealbruken, mens kun dominerende arealformål vises i kommunedelplankartet. Mindre arealer med annet formål enn de omkringliggende vil ikke vises i kartet.",Elverum
Hva betyr det at kommunedelplanen går foran eldre reguleringsplaner?,Det betyr at generelle bestemmelser i kommunedelplanen vil ha prioritet over eldre reguleringsplaner i tilfeller der det er motstrid mellom dem.,Elverum
Hva er kravet for å kunne gjennomføre byggetiltak i områdene nevnt i dokumentet?,Byggetiltak i de nevnte områdene kan ikke gjennomføres før det foreligger en vedtatt reguleringsplan for byggeområdet og for tilliggende veglenker og vegkryss.,Elverum
Hva er kravene som må oppfylles for at plankrav kan fravikes og utbygging behandles som enkeltsak etter plan- og bygningslovens saksbehandlingsregler på bebygd eiendom?,"For at plankrav kan fravikes og utbygging behandles som enkeltsak på bebygd eiendom, må alle følgende kriterier være oppfylt",Elverum
Hva er den maksimale tillatte bruksarealet (BRA) for utbyggingen i henhold til planbestemmelsene?,Utbyggingen omfatter bruksareal (BRA) inntil 200 m2.,Elverum
Hva er kravet angående tilliggende veglenker og vegkryss ved planlegging av et byggeområde?,"Dersom plankravet ikke allerede er oppfylt for tilliggende veglenker og vegkryss ved planlegging av et byggeområde, skal disse inngå i planområdet for byggeområdet.",Elverum
Hva er hovedprinsippet når det gjelder hvem som skal besørge tilrettelegging av nødvendig infrastruktur i større utbyggingsområder for bolig?,"Hovedprinsippet er at utbygger/grunneier besørger eller bekoster tilrettelegging av nødvendig intern og ekstern teknisk og grønn infrastruktur, samt andre nødvendige tiltak innenfor lovens krav om nødvendighet og forholdsmessighet.",Elverum
Hvordan regulerer utbyggingsavtalen gjennomføringen av rekkefølgebestemmelser i kommunal arealplan?,"Utbyggingsavtalen regulerer gjennomføringen av rekkefølgebestemmelser ved å avklare partenes rettigheter og plikter, inkludert hvem som skal finansiere tiltak og stå for gjennomføringen.",Elverum
Hva er kravene for tilknytningsplikt til fjernvarme innenfor konsesjonsområdet?,Innenfor konsesjonsområdet for fjernvarmeanlegg skal bebyggelsen tilknyttes anlegget når det oppføres ny bygning med oppvarmet bruksareal over 500 m2 eller ved hovedombygging der oppvarmet bruksareal er over 500 m2.,Elverum
Hva er kravene for å kunne bruke alternative energikilder i Leiret i henhold til planbestemmelsene?,Alternative energikilder kan brukes der det kan dokumenteres at bruk av disse vil være energi- og miljømessige bedre enn tilknytning til fjernvarme.,Elverum
Hva er kravene for etablering av grønn infrastruktur før utbygging kan finne sted i kommunen?,"Før utbygging kan finne sted i kommunen, må nødvendig teknisk og grønn infrastruktur være etablert eller sikret å bli etablert. Dette inkluderer blant annet kjøreveg, parkering, trafikksikkerhetstiltak, holdeplass, mulighet for varelevering og søppelhåndtering, løsninger for gående og syklende, barnehage, skoler, nærbutikk, holdeplass, overvannsanlegg, areal for lek og rekreasjon, miljø- og kulturtiltak, samt ferdig opparbeidede uteoppholdsareal og parkeringsplasser innenfor hvert byggeområde.",Elverum
Hva er kravene for at et tiltak skal anses som nødvendig i en reguleringsplan?,"Et tiltak må ha en direkte saklig sammenheng med planen, fylle et behov eller dempe en ulempe for omgivelsene for å anses som nødvendig i en reguleringsplan. Rekkefølgebestemmelsene bør også avklare muligheten for trinnvis etablering av tiltak og tidspunkt for når områder kan tas i bruk til bygge- og anleggsformål.",Elverum
"Hva må til for at veglenkene mellom byggeområdene S5 og S9, samt S10 og S14, kan åpnes med kryss mot Solørvegen/rv. 2?","Veglenkene kan ikke åpnes med kryss mot Solørvegen/rv. 2 før trafikken på rv. 2 mellom Glåmbrua og Gammelbrua er redusert til et akseptabelt nivå, eller det foreligger enighet med vegmyndighetene om en løsning.",Elverum
Hva er intensjonen bak planen om å ha tre kryss mellom Solørvegen/rv. 2 og bykjernen i Elverum?,"Intensjonen med planen er å redusere trafikkmengden til et akseptabelt nivå før kryssene kan realiseres, eller å finne alternative løsninger som tilfredsstiller kravene.",Elverum
Hva betyr det at ny bebyggelse ikke kan tas i bruk før tilliggende offentlig trafikkareal til og med kjøreveg er bygd/oppgradert som planlagt i reguleringsplan?,"Dette betyr at før ny bebyggelse kan tas i bruk i visse byggeområder, må det offentlige trafikkarealet, inkludert kjørevegen, være bygd eller oppgradert i samsvar med reguleringsplanen.",Elverum
Hva må gjøres før ny bebyggelse kan tas i bruk i byggeområdene B11/S22 i Elverum?,"Før ny bebyggelse kan tas i bruk i byggeområdene B11/S22 i Elverum, må turstien fra Storgata til Husmorlagets hus være bygd/oppgradert som planlagt i reguleringsplanen.",Elverum
Hva sier reguleringsplanene og byggesakene om konsekvenser for barn og unges oppvekstmiljø?,"Reguleringsplaner og byggesaker skal vurdere konsekvenser for barn og unges oppvekstmiljø særskilt, og lokalisering av lekeplass skal begrunnes i planbeskrivelsen. Ved omdisponering av arealer avsatt til fellesareal eller grønnstruktur egnet for lek, skal det skaffes fullverdig erstatning.",Elverum
Hva er formålet med å inkludere bestemmelser om universell utforming i reguleringsplaner?,"Formålet med å inkludere bestemmelser om universell utforming i reguleringsplaner er å sikre at områdene som reguleres blir tilgjengelige og brukervennlige for alle, uavhengig av funksjonsevne.",Elverum
Hva er kravene til universell utforming i plan- og byggesaker i kommunen?,"I alle plan- og byggesaker skal det redegjøres for hvordan universell utforming er ivaretatt, i henhold til de til enhver tid gjeldende krav og retningslinjer. Arbeid som er nevnt i plan- og bygningslovens § 20-1 og 20-2 kan ikke settes i gang før tilfredsstillende løsninger for universell utforming er dokumentert.",Elverum
Hva er hovedfunksjonene som nye boliger bør planlegges med på inngangsplanet ifølge planbestemmelsene?,"Nye boliger bør planlegges med alle hovedfunksjoner som stue, kjøkken, soverom/sovemulighet, bad og toalett på inngangsplanet i henhold til planbestemmelsene.",Elverum
Hva bør prioriteres når det gjelder tilgjengelighetstiltak i kombinasjon med vernehensyn i planleggingen?,Tilgjengelighetstiltak som på en god måte kan kombineres med vernehensyn bør prioriteres i planleggingen.,Elverum
Hva er kravene for midlertidig bruk av rivingstomter i kommunen?,"Rivingstomter skal opparbeides med midlertidig grøntanlegg dersom utbygging ikke følger umiddelbart, og annen midlertidig bruk som parkering eller lagring tillates ikke uten særskilt tillatelse fra kommunen.",Elverum
Hva er minimumsarealet for en boenhet i lavblokk/høyblokk innenfor bykjernen?,"Minimumsarealet for en boenhet i lavblokk/høyblokk innenfor bykjernen er 75 m2, hvorav minimum 10 m2 er privat og minimum 25 m2 er til felles uteopphold per boenhet.",Elverum
Hva er kravet til felles uteopphold per boenhet ifølge planbestemmelsene i Elverum?,"Kravet er 8 m2 felles uteopphold per boenhet, hvorav minimum 8 m2 skal være privat og minimum 8 m2 skal være til felles uteopphold.",Elverum
"Hva er kravet til uteoppholdsareal i områder for sentrumsformål, og hva kan gjøres dersom det er fravær av dette kravet?","I områder for sentrumsformål kan kravet til uteoppholdsareal reduseres, og dersom det er fravær av kravet må det gjøres kompenserende tiltak, for eksempel opprustning av nærliggende grøntarealer/parker.",Elverum
Hva er kravet til nærlekeplass ved utbygging av 5 enheter eller flere i kommunen?,Ved utbygging av 5 enheter eller flere utløses kravet til nærlekeplass i kommunen.,Elverum
Hva er kravet til antall lekeapparat på nærlekeplassen i henhold til planbestemmelsene?,Nærlekeplassen skal inneholde minimum to lekeapparat.,Elverum
Hva er kravene til størrelse og tilrettelegging av områdelekeplasser i kommunen?,"Områdelekeplasser skal være minimum 2000 m2 og tilpasses antall enheter tilknyttet området, og skal være egnet for aktiviteter som ballek, aking, sykling og lignende.",Elverum
Hva er minimumsbyggegrensen mot lekeplass i kommunen?,Byggegrensen mot lekeplass skal være minimum 4 meter.,Elverum
Hva er minimumsbyggegrensen mot en lekeplass i kommunen?,Byggegrensen mot lekeplass skal være minimum 4 meter.,Elverum
Hvor mange parkeringsplasser er påkrevd for en enebolig ifølge planbestemmelsene?,Ifølge planbestemmelsene kreves det minimum 2 parkeringsplasser for en enebolig.,Elverum
Hva er kravet for antall gjesteparkeringsplasser for bygninger innenfor bykjernen?,For bygninger innenfor bykjernen er det ikke krav til antall gjesteparkeringsplasser.,Elverum
